Time1,A2_soil_moisture_in_cb,A3_soil_moisture_in_cb,A4_soil_moisture_in_cb,mean_of_tension,A2_soil_moisture_in_cb_vol,A3_soil_moisture_in_cb_vol,A4_soil_moisture_in_cb_vol,mean_of_volumetreic
2023-02-14 00:00:00+01:00,62.39536421820028,65.60136091790231,59.20399993896484,62.40024169168914,27.686045412985692,27.457045648721262,27.91400000435965,27.6856970220222
2023-02-15 00:00:00+01:00,61.01523180828978,64.62137972075364,58.58266716003418,61.406426229692535,27.784626299407872,27.527044305660453,27.958380917140413,27.756683840736248
2023-02-16 00:00:00+01:00,60.22483653648227,63.8121426991054,58.10985943968867,60.71561289175878,27.841083104536978,27.584846950063902,27.992152897165095,27.80602765058866
2023-02-17 00:00:00+01:00,58.902721015774475,62.65067525812098,57.514184559490666,59.68919361112871,27.93551992744468,27.667808910134216,28.03470110289352,27.879343313490807
2023-02-18 00:00:00+01:00,58.00138878822327,61.630201378124674,57.07928573063442,58.903625298994115,27.999900800841193,27.74069990156252,28.06576530495468,27.93545533578613
2023-02-19 00:00:00+01:00,57.51513169941149,60.70814841941551,56.727702810957624,58.31699430992821,28.034633450042033,27.806560827184608,28.090878370645882,27.977357549290844
2023-02-20 00:00:00+01:00,56.988513431033574,59.95586190059267,56.696428407941546,57.880267913189265,28.072249040640457,27.860295578529094,28.0931122565756,28.00855229191505
2023-02-21 00:00:00+01:00,57.64557803407007,59.528276009395206,57.21760559082031,58.13048654476186,28.02531585470928,27.89083742790034,28.055885314941403,27.990679532517007
2023-02-22 00:00:00+01:00,58.759060648463716,58.96923091861751,57.729655035610854,58.48598220089736,27.945781382252594,27.93076922009875,28.019310354599224,27.96528698565019
2023-02-23 00:00:00+01:00,58.8516778113858,58.21870523905582,58.05071408408029,58.373699044840635,27.9391658706153,27.984378197210297,27.996377565422836,27.973307211082812
2023-02-24 00:00:00+01:00,61.397810274667115,58.11700675601051,59.33576631197964,59.61686111421909,27.757299266095202,27.99164237457068,27.904588120572882,27.88450992041292
2023-02-25 00:00:00+01:00,62.7298612329695,58.036879546253395,60.527659612344515,60.43146679718913,27.662152769073607,27.997365746696186,27.819452884832536,27.826323800200772
2023-02-26 00:00:00+01:00,65.21756736652272,58.681818208494384,62.84142829350063,62.24693795617258,27.484459473819804,27.951298699393256,27.654183693321382,27.696647288844815
2023-02-27 00:00:00+01:00,67.81449237768201,59.55507272913836,65.42112694323903,64.26356401668647,27.298964830165566,27.888923376490116,27.469919504054353,27.552602570236683
