Time1,A2_soil_moisture_in_cb,A3_soil_moisture_in_cb,A4_soil_moisture_in_cb,A2_soil_moisture_in_cb_vol,A3_soil_moisture_in_cb_vol,A4_soil_moisture_in_cb_vol
2023-03-09 14:00:00+01:00,81.02,58.24,76.42,26.35571428571429,27.982857142857142,26.684285714285714
2023-03-09 15:00:00+01:00,81.77,58.27,76.42,26.302142857142858,27.980714285714285,26.684285714285714
2023-03-09 16:00:00+01:00,82.75,58.32,76.58,26.23214285714286,27.977142857142855,26.672857142857143
2023-03-09 17:00:00+01:00,83.42,58.42,76.75,26.184285714285714,27.97,26.66071428571429
2023-03-09 18:00:00+01:00,84.3,58.47,76.87,26.121428571428574,27.96642857142857,26.652142857142856
2023-03-09 19:00:00+01:00,84.69,58.53,76.98,26.093571428571426,27.962142857142858,26.644285714285715
2023-03-09 20:00:00+01:00,85.01,58.57,77.13,26.070714285714285,27.959285714285713,26.63357142857143
2023-03-09 21:00:00+01:00,84.77,58.64,77.29,26.08785714285714,27.954285714285714,26.622142857142855
2023-03-09 22:00:00+01:00,84.44,58.59,77.24,26.111428571428576,27.95785714285714,26.625714285714285
2023-03-09 23:00:00+01:00,84.16,58.55,77.25,26.13142857142857,27.960714285714282,26.625
2023-03-10 00:00:00+01:00,83.51,58.59,77.31,26.177857142857142,27.95785714285714,26.620714285714286
2023-03-10 01:00:00+01:00,83.06,58.67,77.3,26.21,27.95214285714286,26.621428571428574
2023-03-10 02:00:00+01:00,82.73,58.71,77.25,26.233571428571427,27.949285714285715,26.625
2023-03-10 03:00:00+01:00,82.4,58.76,77.29,26.257142857142856,27.945714285714285,26.622142857142855
2023-03-10 04:00:00+01:00,82.25,58.78,77.26,26.267857142857142,27.944285714285716,26.624285714285712
2023-03-10 05:00:00+01:00,82.06,58.82,77.38,26.281428571428574,27.941428571428574,26.615714285714287
2023-03-10 06:00:00+01:00,82.02,58.9,77.28,26.284285714285716,27.935714285714287,26.622857142857143
2023-03-10 07:00:00+01:00,81.87,58.8,77.23,26.295,27.942857142857143,26.626428571428573
2023-03-10 08:00:00+01:00,81.71,58.9,77.27,26.30642857142857,27.935714285714287,26.62357142857143
2023-03-10 09:00:00+01:00,81.52,58.85,77.22,26.32,27.93928571428571,26.627142857142854
2023-03-10 10:00:00+01:00,81.55,58.96,77.26,26.317857142857143,27.931428571428572,26.624285714285712
2023-03-10 11:00:00+01:00,81.61,59.0,77.22,26.313571428571425,27.92857142857143,26.627142857142854
2023-03-10 12:00:00+01:00,81.51,58.9,77.45,26.320714285714285,27.935714285714287,26.610714285714288
2023-03-10 13:00:00+01:00,81.71,59.1,77.42,26.30642857142857,27.92142857142857,26.612857142857145
2023-03-10 14:00:00+01:00,82.12,59.26,77.53,26.277142857142856,27.91,26.605
2023-03-10 15:00:00+01:00,82.95,59.35,77.65,26.21785714285714,27.90357142857143,26.59642857142857
2023-03-10 16:00:00+01:00,83.88,59.48,77.95,26.15142857142857,27.894285714285715,26.575
2023-03-10 17:00:00+01:00,84.47,59.5,78.09,26.10928571428571,27.892857142857142,26.565
2023-03-10 18:00:00+01:00,85.23,59.59,78.2,26.055,27.886428571428574,26.557142857142857
2023-03-10 19:00:00+01:00,85.56,59.67,78.24,26.03142857142857,27.880714285714287,26.554285714285715
2023-03-10 20:00:00+01:00,85.63,59.76,78.4,26.02642857142857,27.874285714285712,26.54285714285714
