"Time","638de53168f31919048f189d, 63932c6e68f319085df375b5; B2_solar_x2_03, Soil_tension","638de53168f31919048f189d, 63932c6e68f319085df375b7; B2_solar_x2_03, Resistance","638de53168f31919048f189d, 63932c6e68f319085df375b9; B2_solar_x2_03, Soil_temperature","638de56a68f31919048f189e, 63932ce468f319085df375cb; B3_solar_x1_02, Resistance","638de57568f31919048f189f, 63932c3668f319085df375ab; B4_solar_x1_03, Soil_tension","638de57568f31919048f189f, 63932c3668f319085df375ad; B4_solar_x1_03, Resistance","638de57568f31919048f189f, 63932c3668f319085df375af; B4_solar_x1_03, Soil_temperature"
"2023-02-09 16:40:00 +0000 UTC",1.3,64.2,12.8,114.1,9.7,126.1,12.7
"2023-02-09 16:50:00 +0000 UTC",1,63.1,12.8,112.9,9.7,125.4,12.8
"2023-02-09 17:00:00 +0000 UTC",0.5,60.9,12.8,113.3,9.7,124.7,12.8
"2023-02-09 17:10:00 +0000 UTC",0.3,59.8,12.8,110.5,9.6,124.1,12.8
"2023-02-09 17:20:00 +0000 UTC",0.05,58.15,12.8,109.3,9.6,122.4,12.8
"2023-02-09 17:30:00 +0000 UTC",0.4,56.5,12.8,108.7,9.6,121.7,12.8
"2023-02-09 17:40:00 +0000 UTC",0.7,55.4,12.8,106.9,9.5,121.1,12.9
"2023-02-09 17:50:00 +0000 UTC",0,54.9,12.8,105.8,9.5,120.4,12.8
"2023-02-09 18:00:00 +0000 UTC",0,54.3,12.8,105.1,9.5,119.3,13
"2023-02-09 18:10:00 +0000 UTC",0,53.3,12.8,104.5,9.5,118.6,13
"2023-02-09 18:20:00 +0000 UTC",0,53.3,12.8,103.3,9.4,117.5,13
"2023-02-09 18:30:00 +0000 UTC",0,53.3,12.8,103.3,9.4,117.5,13
"2023-02-09 18:40:00 +0000 UTC",0,52.7,12.8,101.85,9.4,116.3,13
"2023-02-09 18:50:00 +0000 UTC",0,52.2,12.8,100.4,9.4,117.3,13
"2023-02-09 19:00:00 +0000 UTC",0,52.2,12.7,99.8,9.3,115.5,13
"2023-02-09 19:10:00 +0000 UTC",0,52.2,12.7,98.6,9.3,115,13
"2023-02-09 19:20:00 +0000 UTC",0,52.2,12.6,98.6,,,
"2023-02-09 19:30:00 +0000 UTC",0,52.2,12.6,98,9.2,112.7,13
"2023-02-09 19:40:00 +0000 UTC",0,52.2,12.6,98,9.2,112.6,13
"2023-02-09 19:50:00 +0000 UTC",0,51.7,12.6,96.3,9.2,111.5,13
